Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.08.2018,"39,00","39,00","39,00","39,00","-2,50",1.533,59.787,59.787
01.06.2018,"40,00","40,00","40,00","40,00","-20,00",614,24.560,24.560
01.09.2015,"50,00","50,00","50,00","50,00","25,00",2.556,127.800,127.800
10.08.2015,"40,00","40,00","40,00","40,00","33,33",1.363,54.520,54.520
21.07.2015,"30,00","30,00","30,00","30,00","0,00",730,21.900,21.900
11.02.2015,"30,00","30,00","30,00","30,00","0,00",1.221,36.630,36.630
