Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.09.2023,"99,00","99,00","99,00","99,00","59,68",120,11.880,11.880
14.02.2023,"62,00","62,00","62,00","62,00","-38,00",500,31.000,31.000
14.04.2021,"100,00","100,00","100,00","100,00","0,00",644,64.400,64.400
20.10.2020,"100,00","100,00","100,00","100,00","-0,99",2.250,225.000,225.000
07.10.2020,"101,00","101,00","101,00","101,00","1,00",200,20.200,20.200
12.08.2020,"100,00","100,00","100,00","100,00","-33,77",150,15.000,15.000
