Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
16.11.2023,"65.105,00","65.105,00","65.105,00","65.105,00","0,16",15,976.575,976.575
16.11.2023,"65.105,00","65.105,00","65.105,00","65.105,00","0,16",15,976.575,976.575
31.10.2023,"65.000,00","65.000,00","65.000,00","65.000,00","18,18",6,390.000,390.000
30.09.2021,"55.000,00","55.000,00","55.000,00","55.000,00","1,85",1,55.000,55.000
20.06.2019,"54.000,00","54.000,00","54.000,00","54.000,00","0,00",8,432.000,432.000
19.06.2019,"54.000,00","54.000,00","54.000,00","54.000,00","-17,80",2,108.000,108.000
