Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
19.08.2019,"300,00","300,00","300,00","300,00","-40,00",30,9.000,9.000
21.05.2019,"500,00","500,00","500,00","500,00","-18,70",35,17.500,17.500
16.05.2019,"615,00","615,00","615,00","615,00","0,00",120,73.800,73.800
15.05.2019,"615,00","615,00","615,00","615,00","-78,04",80,49.200,49.200
25.11.2016,"2.800,00","2.800,00","2.800,00","2.800,00","600,00",15,42.000,42.000
16.12.2015,"400,00","400,00","400,00","400,00","0,00",80,32.000,32.000
